PID,condition,n_assistant_turns,assistant_words,mean_words_per_turn,n_user_turns,user_words,n_questions,type_token_ratio,fk_grade,first_sg_p100,first_pl_p100,second_person_p100,affect_p100,ack_warm_p100,hedge_p100,emotion_q_p100,personalisation_p100,patient_echo_rate,passive_p100,ack_procedural_p100,directive_p100,technical_p100,session_minutes,n_order_anomalies,PC_index,TC_index,style_index
021,Task-Centred,12,209,17.416666666666668,11,34,9,0.6172248803827751,7.338281499202555,4.30622009569378,0.4784688995215311,3.349282296650718,2.3923444976076556,0.4784688995215311,0.0,0.0,0.9569377990430622,0.04032258064516129,4.30622009569378,9.090909090909092,0.4784688995215311,9.090909090909092,9.417956466666668,0,-0.40081175098730903,1.4758902059388834,-1.8767019569261925
023,Patient-Centred,16,347,21.6875,15,100,14,0.5331412103746398,5.0021660746598755,3.170028818443804,2.3054755043227666,6.628242074927954,5.475504322766571,2.0172910662824206,1.7291066282420748,1.1527377521613833,1.1527377521613833,0.13114754098360656,0.2881844380403458,0.2881844380403458,0.0,3.4582132564841497,10.147685983333334,0,1.0222461731616421,-1.1420632716158965,2.1643094447775386
024,Task-Centred,12,296,24.666666666666668,10,47,7,0.5472972972972973,7.861081081081085,1.3513513513513513,0.33783783783783783,5.405405405405405,3.7162162162162162,0.33783783783783783,1.0135135135135136,0.0,0.6756756756756757,0.07100591715976332,2.364864864864865,5.405405405405405,1.0135135135135136,7.77027027027027,9.169601466666668,0,-0.43245108833841717,1.170143550046262,-1.6025946383846792
026,Patient-Centred,20,641,32.05,19,161,15,0.4118564742589704,7.396732251379607,1.8720748829953198,2.0280811232449296,4.83619344773791,2.3400936037441498,0.62402496099844,2.65210608424337,0.46801872074882994,0.7800312012480499,0.09836065573770492,0.15600624024961,0.31201248049922,0.15600624024961,4.5241809672386895,11.503606916666666,0,0.14824816187185172,-0.8639775221331093,1.012225684004961
027,Task-Centred,14,295,21.071428571428573,11,51,10,0.5728813559322034,8.47763157894737,0.6779661016949152,0.3389830508474576,4.745762711864407,1.694915254237288,0.0,0.0,0.0,0.6779661016949152,0.047337278106508875,3.0508474576271185,7.4576271186440675,0.3389830508474576,7.11864406779661,9.149109983333334,0,-0.9173424966013515,0.720793806069314,-1.6381363026706655
029,Patient-Centred,14,393,28.071428571428573,13,58,12,0.5139949109414759,6.608815454667205,3.816793893129771,0.7633587786259542,6.870229007633588,3.816793893129771,1.0178117048346056,1.5267175572519085,0.7633587786259542,1.0178117048346056,0.06278026905829596,0.0,0.5089058524173028,0.0,6.6157760814249365,9.274346666666666,0,0.43930629492720624,-0.7199229096008983,1.1592292045281045
030,Task-Centred,11,242,22.0,9,62,9,0.5826446280991735,8.327900826446282,0.8264462809917356,0.0,3.3057851239669422,1.2396694214876034,0.0,0.0,0.0,0.4132231404958678,0.021897810218978103,2.8925619834710745,7.851239669421488,0.4132231404958678,8.264462809917354,8.970140933333333,0,-1.1516581325663475,0.9575056963483974,-2.109163828914745
032,Patient-Centred,13,362,27.846153846153847,12,32,12,0.5248618784530387,6.7079005524861905,3.867403314917127,1.3812154696132597,7.18232044198895,4.419889502762431,2.2099447513812156,1.9337016574585635,0.8287292817679558,1.3812154696132597,0.03015075376884422,0.0,0.5524861878453039,0.0,6.077348066298343,9.394362933333333,0,0.9837503577287244,-0.7943023958947443,1.7780527536234687
033,Task-Centred,17,486,28.58823529411765,15,138,15,0.448559670781893,7.922626396237508,0.823045267489712,0.823045267489712,4.526748971193416,1.440329218106996,0.205761316872428,0.823045267489712,0.0,1.02880658436214,0.0888030888030888,1.8518518518518519,4.526748971193416,0.205761316872428,6.378600823045267,12.156690216666668,0,-0.6164929683433875,0.06128015163579542,-0.677773119979183
035,Patient-Centred,14,381,27.214285714285715,13,55,11,0.5223097112860893,6.810026937422297,3.1496062992125986,1.0498687664041995,6.824146981627297,3.937007874015748,1.0498687664041995,1.0498687664041995,1.0498687664041995,1.5748031496062993,0.04128440366972477,0.0,0.26246719160104987,0.26246719160104987,5.774278215223097,9.224386149999999,0,0.5368284199344456,-0.6151789904909315,1.152007410425377
036,Task-Centred,15,365,24.333333333333332,11,64,8,0.5342465753424658,8.647578916021441,1.917808219178082,0.273972602739726,3.835616438356164,1.643835616438356,0.273972602739726,0.273972602739726,0.0,0.821917808219178,0.028169014084507043,3.0136986301369864,6.301369863013699,1.095890410958904,6.301369863013699,9.181925783333332,0,-0.7356325500284269,1.2149966475051075,-1.9506291975335344
038,Patient-Centred,14,348,24.857142857142858,13,74,11,0.5632183908045977,6.200128959910291,3.4482758620689653,1.7241379310344827,6.32183908045977,4.597701149425287,0.5747126436781609,1.4367816091954022,1.1494252873563218,1.4367816091954022,0.05154639175257732,0.0,0.8620689655172413,0.0,4.597701149425287,9.715915433333333,5,0.6381069428056496,-0.9844025274131627,1.6225094702188123
039,Task-Centred,19,514,27.05263157894737,17,125,11,0.5,9.115295656056645,1.556420233463035,0.7782101167315175,3.307392996108949,2.140077821011673,0.19455252918287938,0.7782101167315175,0.19455252918287938,0.38910505836575876,0.08441558441558442,1.556420233463035,3.307392996108949,0.19455252918287938,6.22568093385214,12.42170375,2,-0.7062993507872785,-0.1142849384424019,-0.5920144123448765
041,Patient-Centred,12,281,23.416666666666668,10,14,10,0.5765124555160143,6.185577179715306,3.5587188612099645,1.4234875444839858,7.473309608540926,4.98220640569395,0.35587188612099646,1.4234875444839858,1.0676156583629892,1.4234875444839858,0.03205128205128205,0.35587188612099646,1.0676156583629892,0.35587188612099646,5.693950177935943,7.793466133333334,0,0.6555715442830051,-0.41736309638565894,1.072934640668664
044,Patient-Centred,11,268,24.363636363636363,9,27,8,0.6529850746268657,7.39922388059702,3.3582089552238807,0.373134328358209,7.835820895522388,4.850746268656716,1.492537313432836,1.1194029850746268,1.1194029850746268,1.492537313432836,0.01910828025477707,0.0,0.746268656716418,0.0,6.7164179104477615,4.851577183333333,0,0.6850474912895188,-0.6875232996292059,1.3725707909187248
045,Task-Centred,14,296,21.142857142857142,12,18,9,0.5371621621621622,7.627081081081084,1.3513513513513513,0.0,6.418918918918919,2.364864864864865,0.0,0.0,0.0,1.3513513513513513,0.0,3.3783783783783785,8.445945945945946,1.0135135135135136,7.094594594594595,9.895802083333333,0,-0.5633166747004621,1.4773785134901722,-2.040695188190634
047,Patient-Centred,13,307,23.615384615384617,11,15,11,0.5700325732899023,6.095457346597414,4.234527687296417,1.6286644951140066,9.120521172638437,5.863192182410423,1.6286644951140066,1.3029315960912051,0.9771986970684039,1.6286644951140066,0.011560693641618497,0.0,0.9771986970684039,0.3257328990228013,4.88599348534202,8.27237365,0,1.1888499021738557,-0.630476677052829,1.8193265792266846
048,Task-Centred,12,335,27.916666666666668,11,96,10,0.5552238805970149,8.55479432107754,1.492537313432836,0.29850746268656714,4.477611940298507,1.492537313432836,0.29850746268656714,0.0,0.0,0.8955223880597015,0.03684210526315789,2.6865671641791047,5.970149253731344,0.29850746268656714,8.059701492537313,9.492875733333333,0,-0.7625523633554336,0.6436093159132574,-1.406161679268691
050,Patient-Centred,15,395,26.333333333333332,13,82,13,0.5367088607594936,5.647748012952608,3.2911392405063293,1.518987341772152,7.594936708860759,5.3164556962025316,1.7721518987341771,1.0126582278481013,0.759493670886076,1.7721518987341771,0.037914691943127965,0.0,0.5063291139240507,0.25316455696202533,4.050632911392405,9.250416016666666,0,0.8966620910819527,-0.8540973884226193,1.750759479504572
051,Task-Centred,12,296,24.666666666666668,11,22,10,0.5641891891891891,7.74148648648649,2.027027027027027,0.33783783783783783,4.72972972972973,1.6891891891891893,0.33783783783783783,0.0,0.0,1.3513513513513513,0.006134969325153374,3.0405405405405403,6.418918918918919,0.0,6.756756756756757,8.950495266666668,1,-0.5497788586646402,0.2725311747203559,-0.822310033384996
053,Patient-Centred,24,610,25.416666666666668,22,125,19,0.4426229508196721,6.575742526518809,2.7868852459016393,1.9672131147540983,5.573770491803279,4.426229508196721,0.819672131147541,3.278688524590164,0.9836065573770492,0.32786885245901637,0.05952380952380952,0.32786885245901637,0.819672131147541,0.16393442622950818,4.754098360655738,12.608867550000001,1,0.5652207927570999,-0.7553959198192212,1.320616712576321
054,Task-Centred,12,271,22.583333333333332,11,28,10,0.5904059040590406,7.395005826374053,2.2140221402214024,0.0,5.166051660516605,2.2140221402214024,0.36900369003690037,0.0,0.0,0.7380073800738007,0.0273972602739726,3.690036900369004,9.59409594095941,0.36900369003690037,7.380073800738008,8.583157333333332,0,-0.651489231716609,1.0582090032410014,-1.7096982349576104
056,Patient-Centred,17,442,26.0,17,59,13,0.502262443438914,5.911143737364014,2.7149321266968327,1.583710407239819,6.334841628959276,4.072398190045249,0.45248868778280543,0.6787330316742082,0.6787330316742082,0.9049773755656109,0.02510460251046025,0.0,0.45248868778280543,0.0,5.656108597285068,10.095101016666666,0,0.14435234860022672,-0.8625958343484051,1.0069481829486318
057,Task-Centred,13,303,23.307692307692307,12,26,11,0.5214521452145214,8.703366336633668,0.9900990099009901,0.0,3.3003300330033003,0.9900990099009901,0.0,0.33003300330033003,0.0,0.6600660066006601,0.005747126436781609,4.29042904290429,9.24092409240924,0.33003300330033003,9.24092409240924,8.674757266666667,0,-1.042695128601206,1.3677130975475076,-2.4104082261487134
059,Patient-Centred,17,450,26.470588235294116,17,113,14,0.5355555555555556,6.8217979797979815,2.888888888888889,2.4444444444444446,6.444444444444445,4.222222222222222,1.1111111111111112,2.0,0.8888888888888888,1.1111111111111112,0.09019607843137255,0.0,0.8888888888888888,0.0,5.555555555555555,10.848338366666667,0,0.7218049786739881,-0.8442209921392406,1.5660259708132287
060,Task-Centred,14,334,23.857142857142858,12,50,11,0.5299401197604791,7.294392145940677,1.4970059880239521,0.5988023952095808,3.592814371257485,1.7964071856287425,0.2994011976047904,0.0,0.0,0.8982035928143712,0.016853932584269662,2.9940119760479043,8.383233532934131,0.0,6.287425149700598,9.407763416666667,0,-0.7583497706224518,0.34476491647030805,-1.1031146870927597
063,Task-Centred,18,396,22.0,15,55,14,0.49747474747474746,7.194295900178254,1.5151515151515151,0.7575757575757576,4.545454545454546,2.0202020202020203,0.25252525252525254,1.0101010101010102,0.0,0.5050505050505051,0.024271844660194174,2.525252525252525,7.3232323232323235,0.25252525252525254,5.555555555555555,9.489539133333333,0,-0.5967196053147957,0.31353368483357297,-0.9102532901483686
065,Patient-Centred,12,290,24.166666666666668,11,76,10,0.596551724137931,6.20957403651116,3.103448275862069,0.6896551724137931,8.275862068965518,6.551724137931035,1.3793103448275863,0.6896551724137931,1.0344827586206897,2.413793103448276,0.057692307692307696,0.0,1.3793103448275863,0.0,5.517241379310345,8.711375833333333,0,0.9795532826370478,-0.8127988280239828,1.7923521106610307
066,Task-Centred,19,380,20.0,18,67,14,0.5052631578947369,7.475263157894741,1.0526315789473684,0.2631578947368421,5.0,2.3684210526315788,0.0,0.2631578947368421,0.0,0.2631578947368421,0.027777777777777776,2.3684210526315788,6.842105263157895,0.2631578947368421,7.105263157894737,5.561454716666666,0,-0.8801087368858853,0.48355226887091296,-1.3636610057567982
068,Patient-Centred,14,336,24.0,12,43,11,0.5744047619047619,5.839373433583962,4.464285714285714,1.4880952380952381,7.738095238095238,4.761904761904762,1.7857142857142858,1.1904761904761905,0.8928571428571429,1.1904761904761905,0.043243243243243246,0.2976190476190476,0.2976190476190476,0.2976190476190476,5.059523809523809,8.554554466666668,0,0.902851414162125,-0.6312855071157465,1.5341369212778715
069,Task-Centred,9,199,22.11111111111111,7,25,6,0.6180904522613065,8.097509771077615,1.0050251256281406,0.5025125628140703,4.522613065326633,2.512562814070352,0.0,0.0,0.0,0.5025125628140703,0.008771929824561403,2.512562814070352,6.030150753768845,1.0050251256281406,9.045226130653266,7.82911825,0,-0.8564543254440772,1.4187910453800057,-2.275245370824083
071,Patient-Centred,15,414,27.6,14,30,13,0.5024154589371981,5.950559947299077,3.140096618357488,1.4492753623188406,7.729468599033816,4.3478260869565215,1.2077294685990339,0.966183574879227,0.7246376811594203,0.966183574879227,0.04310344827586207,0.4830917874396135,0.7246376811594203,0.0,5.797101449275362,9.703962149999999,0,0.49703149425093934,-0.7380465016866417,1.235077995937581
072,Task-Centred,12,301,25.083333333333332,11,103,10,0.5448504983388704,7.690929401993358,2.3255813953488373,0.33222591362126247,4.318936877076412,1.6611295681063123,0.33222591362126247,0.0,0.0,0.6644518272425249,0.012195121951219513,2.6578073089700998,7.973421926910299,0.33222591362126247,7.641196013289036,9.16333045,0,-0.7165643354696104,0.7606227002107468,-1.4771870356803571
074,Patient-Centred,13,324,24.923076923076923,12,95,13,0.5648148148148148,5.975223985890658,4.012345679012346,0.9259259259259259,7.407407407407407,5.246913580246914,1.8518518518518519,1.2345679012345678,1.2345679012345678,1.2345679012345678,0.08092485549132948,0.0,0.9259259259259259,0.0,4.62962962962963,9.26279165,0,0.87840438783503,-0.9749861481050444,1.8533905359400744
